name,conveyor1,conveyor2,conveyor3,AcompleteTime,conveyor1_1,conveyor2_1,conveyor3_1,A_1completeTime
head,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,2,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,4
body,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,4,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,6
foot,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,10,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,12
head,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,2,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,4
body,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,4,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,6
foot,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,10,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,12
head,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,2,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,4
body,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,4,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,6
foot,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,10,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,12
head,<simpy.resources.store.Store object at 0x000001F0E3A83DF0>,<simpy.resources.store.Store object at 0x000001F0E3A83B80>,<simpy.resources.store.Store object at 0x000001F0E3A83D90>,2,<simpy.resources.store.Store object at 0x000001F0E3A834C0>,<simpy.resources.store.Store object at 0x000001F0E3A83FD0>,<simpy.resources.store.Store object at 0x000001F0E3A83DC0>,4
