구분,보통휘발유,자동차용경유
2022년01월01일,1623.79,1442.42
2022년01월02일,1623.40,1442.09
2022년01월03일,1623.03,1441.82
2022년01월04일,1622.32,1440.91
2022년01월05일,1621.79,1440.23
2022년01월06일,1621.22,1439.42
2022년01월07일,1620.98,1439.13
2022년01월08일,1621.40,1439.46
2022년01월09일,1621.30,1439.18
2022년01월10일,1621.45,1439.54
2022년01월11일,1621.56,1439.59
2022년01월12일,1622.04,1439.93
2022년01월13일,1623.20,1441.22
2022년01월14일,1624.78,1442.77
2022년01월15일,1626.33,1444.25
2022년01월16일,1627.47,1445.13
2022년01월17일,1629.30,1447.28
2022년01월18일,1631.44,1449.50
2022년01월19일,1634.23,1452.22
2022년01월20일,1637.65,1455.85
2022년01월21일,1641.46,1459.98
2022년01월22일,1644.44,1462.91
2022년01월23일,1645.89,1464.12
2022년01월24일,1648.45,1466.92
2022년01월25일,1650.81,1469.52
2022년01월26일,1653.39,1472.22
2022년01월27일,1656.26,1475.31
2022년01월28일,1659.44,1478.31
2022년01월29일,1662.55,1481.21
2022년01월30일,1664.47,1483.00
2022년01월31일,1666.03,1484.35
2022년02월01일,1667.71,1485.89
2022년02월02일,1668.81,1487.05
2022년02월03일,1671.13,1489.71
2022년02월04일,1674.67,1493.54
2022년02월05일,1680.26,1499.00
2022년02월06일,1682.78,1501.32
2022년02월07일,1686.54,1505.56
2022년02월08일,1691.81,1511.18
2022년02월09일,1697.01,1516.69
2022년02월10일,1700.89,1521.10
2022년02월11일,1704.32,1524.75
2022년02월12일,1708.23,1528.91
2022년02월13일,1710.46,1531.22
2022년02월14일,1714.12,1535.33
2022년02월15일,1718.64,1540.24
2022년02월16일,1722.69,1545.08
2022년02월17일,1726.09,1549.04
2022년02월18일,1729.39,1552.79
2022년02월19일,1732.31,1555.98
2022년02월20일,1733.84,1557.47
2022년02월21일,1736.48,1560.65
2022년02월22일,1739.36,1563.99
2022년02월23일,1743.05,1568.31
2022년02월24일,1746.20,1572.03
2022년02월25일,1750.84,1577.05
2022년02월26일,1754.75,1581.41
2022년02월27일,1756.31,1582.87
2022년02월28일,1758.87,1585.96
